Player Name,Position,Team,Bye Week,berry,yahoo,fabiano,fp
Adrian Peterson,RB,MIN,5,1,18,2,3
Le'Veon Bell,RB,PIT,11,2,3,1,1
Jamaal Charles,RB,KC,9,3,2,3,2
Eddie Lacy,RB,GB,7,4,1,4,5
Marshawn Lynch,RB,SEA,9,5,14,5,13
DeMarco Murray,RB,PHI,8,9,15,18,19
Antonio Brown,WR,PIT,11,7,8,7,4
Jeremy Hill,RB,CIN,7,8,13,13,18
C.J. Anderson,RB,DEN,7,6,9,14,12
Matt Forte,RB,CHI,7,10,11,6,11
Demaryius Thomas,WR,DEN,7,11,12,9,7
Rob Gronkowski,TE,NE,4,12,5,15,8
Julio Jones,WR,ATL,10,13,10,8,6
Dez Bryant,WR,DAL,6,14,7,11,9
Odell Beckham Jr.,WR,NYG,11,15,16,12,10
Randall Cobb,WR,GB,7,16,21,16,15
Frank Gore,RB,IND,10,17,56,25,28
Aaron Rodgers,QB,GB,7,18,4,33,29
Andrew Luck,QB,IND,10,19,6,30,27
LeSean McCoy,RB,BUF,8,20,26,17,22
Lamar Miller,RB,MIA,5,21,32,28,24
A.J. Green,WR,CIN,7,22,19,19,16
Calvin Johnson,WR,DET,9,23,17,10,14
Alshon Jeffery,WR,CHI,7,24,20,20,20
Mark Ingram,RB,NO,11,25,27,23,31
Alfred Morris,RB,WAS,8,36,33,31,42
Mike Evans,WR,TB,6,27,28,22,21
Justin Forsett,RB,BAL,9,26,25,26,17
T.Y. Hilton,WR,IND,10,29,24,24,26
Carlos Hyde,RB,SF,10,35,23,32,51
Andre Johnson,WR,IND,10,31,73,48,34
Emmanuel Sanders,WR,DEN,7,32,31,27,32
Jimmy Graham,TE,SEA,9,33,39,40,41
Latavius Murray,RB,OAK,6,34,47,35,36
Jonathan Stewart,RB,CAR,5,37,45,37,38
Melvin Gordon,RB,SD,10,30,48,34,44
Todd Gurley,RB,STL,6,44,55,45,73
Davante Adams,WR,GB,7,40,40,43,55
Brandin Cooks,WR,NO,11,39,29,21,23
DeAndre Hopkins,WR,HOU,9,38,22,29,25
Jordan Matthews,WR,PHI,8,41,35,41,30
LeGarette Blount,RB,NE,4,42,52,57,75
Travis Kelce,TE,KC,9,56,54,67,53
Joseph Randle,RB,DAL,6,61,46,46,78
Andre Ellington,RB,ARI,9,53,57,42,35
Russell Wilson,QB,SEA,9,47,36,50,52
Peyton Manning,QB,DEN,7,46,50,55,56
Amari Cooper,WR,OAK,6,48,58,36,40
